state_abbr,latitude,longitude,enrollment
AL,30.715140,-87.853961,649
AL,30.614176,-87.870065,947
AL,30.688684,-87.854020,1115
AL,30.584455,-87.899726,298
AL,30.419952,-87.600250,276
AL,30.603160,-87.829107,1069
AL,30.678458,-87.804980,620
AL,30.708212,-87.782008,528
AL,31.868278,-85.446130,297
AL,31.881958,-85.461165,134
AL,31.780400,-85.554560,227
AL,33.334612,-86.933262,290
AL,33.410011,-86.941520,364
AL,33.368618,-86.985203,616
AL,33.370885,-86.999217,760
AL,33.378515,-86.958225,474
AL,33.379003,-86.980419,277
AL,33.412600,-86.960300,231
AL,32.947825,-87.142339,428
AL,32.943214,-87.115079,440
AL,32.942416,-87.162241,603
AL,32.901200,-86.906100,225
AL,33.114600,-87.125400,288
AL,33.112996,-87.128336,368
AL,33.112623,-87.130606,387
AL,33.209851,-87.137697,324
AL,33.517043,-86.771382,339
AL,33.559819,-86.728087,383
AL,33.485536,-86.899272,296
AL,33.484512,-86.885970,386
AL,33.580565,-86.690118,574
AL,33.495305,-86.812803,232
AL,33.536846,-86.731935,343
AL,33.470380,-86.897100,309
AL,33.493127,-86.851929,353
AL,33.556521,-86.805707,580
AL,33.594956,-86.692689,384
AL,33.611201,-86.683271,1094
AL,33.563900,-86.780651,312
AL,33.504757,-86.882528,441
AL,33.541143,-86.801834,261
AL,33.518499,-86.892235,713
AL,33.514596,-86.829301,942
AL,33.502928,-86.860536,195
AL,33.528000,-86.714100,184
AL,33.497696,-86.798059,762
AL,33.572803,-86.719247,354
AL,33.610583,-86.700636,336
AL,33.525467,-86.829450,423
AL,33.496044,-86.828323,617
AL,33.464429,-86.881924,465
AL,33.454570,-86.884829,670
AL,33.523250,-86.838667,424
AL,33.542301,-86.752182,750
AL,33.504843,-86.916764,399
AL,33.542447,-86.892062,511
AL,33.593744,-86.705904,537
AL,33.558400,-86.828000,570
AL,33.493825,-86.810212,827
AL,33.636300,-86.715600,678
AL,33.565639,-86.717242,330
AL,33.523240,-86.805237,609
AL,33.619045,-86.680565,779
AL,33.484021,-86.867949,492
AL,33.515897,-86.864892,370
AL,33.532064,-86.771079,693
AL,33.428598,-86.874710,512
AL,33.474401,-86.870736,341
AL,33.558400,-86.828000,184
AL,33.883447,-86.769371,298
AL,33.887975,-86.397186,699
AL,34.085061,-86.586184,648
AL,33.993287,-86.573763,389
AL,33.881426,-86.770591,530
AL,33.886900,-86.768100,798
AL,34.085800,-86.588800,507
AL,33.908400,-86.617900,417
AL,33.830801,-86.583070,822
AL,34.082800,-86.430300,440
AL,33.907685,-86.618771,534
AL,33.993348,-86.572918,499
AL,34.083486,-86.430541,582
AL,33.889966,-86.756564,437
AL,31.119471,-87.069631,476
AL,31.154287,-87.058574,319
AL,31.138351,-87.069808,373
