state,state_abbr,nces_school_id,school_name,district_name,county,latitude,longitude,enrollment,start_time,start_time_raw,school_level,inclusion_status
Oregon,OR,410002301500,PAUL L PATTERSON ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.546200,-122.992600,351,07:45,,Elementary,included
Oregon,OR,410002301535,CITY VIEW CHARTER SCHOOL,Hillsboro School District,Washington County,45.511804,-122.939508,409,08:20,,Other/Mixed,included
Oregon,OR,410002301585,LIBERTY HIGH SCHOOL,Hillsboro School District,Washington County,45.562495,-122.902566,1459,08:30,,High,included
Oregon,OR,410002301749,LINCOLN STREET ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.524129,-122.977302,397,07:45,,Elementary,included
Oregon,OR,410002301750,ROSEDALE ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.491401,-122.914765,301,08:15,,Elementary,included
Oregon,OR,410002301759,QUATAMA ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.532680,-122.908773,483,08:00,,Elementary,included
Oregon,OR,410002301764,FREE ORCHARDS ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.517398,-123.041859,385,08:00,,Elementary,included
Oregon,OR,410002301919,ATFALATI RIDGE,Hillsboro School District,Washington County,45.592859,-122.977884,209,07:45,,Other/Mixed,included
Oregon,OR,410002304174,IMLAY ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.511900,-122.921000,409,08:15,,Elementary,included
Oregon,OR,410002311372,TAMARACK ELEMENTARY SCHOOL,Hillsboro School District,Washington County,45.489332,-122.906907,337,08:00,,Elementary,included
Oregon,OR,410003201889,MARTIN LUTHER KING JR. EDUCATION CENTER,Lane Education Service District,Lane County,44.061234,-123.067631,7,09:00,,Other/Mixed,included
Oregon,OR,410003211367,LANE SCHOOL,Lane Education Service District,Lane County,44.041212,-123.127313,31,08:05,,Other/Mixed,included
Oregon,OR,410004000176,HILDA LAHTI ELEMENTARY SCHOOL,Knappa School District,Clatsop County,46.163278,-123.625124,293,08:15,,Elementary,included
Oregon,OR,410004000179,KNAPPA HIGH SCHOOL,Knappa School District,Clatsop County,46.162501,-123.622217,131,08:15,,High,included
Oregon,OR,410004301412,OCEAN DUNES HIGH SCHOOL,Ode Ycep District,Lane County,43.957000,-124.114000,3,08:00,,High,included
Oregon,OR,410004301413,RIVERSIDE HIGH SCHOOL,Ode Ycep District,Linn County,44.601426,-123.094763,10,08:00,,High,included
Oregon,OR,410004301740,TRASK RIVER HIGH SCHOOL,Ode Ycep District,Tillamook County,45.425094,-123.797174,15,08:00,,High,included
Oregon,OR,410004301744,THREE LAKES HIGH SCHOOL,Ode Ycep District,Linn County,44.601388,-123.094801,33,08:00,,High,included
Oregon,OR,410004700862,IONE COMMUNITY CHARTER SCHOOL,Ione School District,Morrow County,45.499200,-119.828500,113,07:50,,Other/Mixed,included
Oregon,OR,410004801151,CHENOWITH ELEMENTARY SCHOOL,North Wasco County School Distric,Wasco County,45.625246,-121.221719,418,07:55,,Elementary,included
Oregon,OR,410004801153,MOSIER COMMUNITY SCHOOL,North Wasco County School Distric,Wasco County,45.682900,-121.400500,161,07:30,,Other/Mixed,included
Oregon,OR,410004801155,COLONEL WRIGHT ELEMENTARY SCHOOL,North Wasco County School Distric,Wasco County,45.597500,-121.198100,291,07:55,,Elementary,included
Oregon,OR,410004801156,DRY HOLLOW ELEMENTARY SCHOOL,North Wasco County School Distric,Wasco County,45.586600,-121.173200,424,07:55,,Elementary,included
Oregon,OR,410004801158,THE DALLES MIDDLE SCHOOL,North Wasco County School Distric,Wasco County,45.592431,-121.175635,513,07:55,,Middle,included
Oregon,OR,410004801159,THE DALLES HIGH SCHOOL,North Wasco County School Distric,Wasco County,45.596400,-121.188000,795,08:00,,High,included
Oregon,OR,410064000233,MYRTLE CREST SCHOOL,Myrtle Point School District,Coos County,43.060249,-124.131114,271,08:25,,Other/Mixed,included
Oregon,OR,410064000234,MYRTLE POINT HIGH SCHOOL,Myrtle Point School District,Coos County,43.061134,-124.143029,154,08:15,,High,included
Oregon,OR,410064011376,MAPLE MIDDLE SCHOOL,Myrtle Point School District,Coos County,43.063526,-124.137251,148,08:05,,Middle,included
Oregon,OR,410099000524,ADEL ELEMENTARY SCHOOL,Adel School District,Lake County,42.169101,-119.900112,11,08:00,,Elementary,included
Oregon,OR,410102000755,ADRIAN ELEMENTARY SCHOOL,Adrian School District,Malheur County,43.741800,-117.069981,210,08:00,,Elementary,included
Oregon,OR,410102000756,ADRIAN HIGH SCHOOL,Adrian School District,Malheur County,43.742300,-117.068600,83,08:00,,High,included
Oregon,OR,410112000017,OAK GROVE ELEMENTARY SCHOOL,Greater Albany Public School District,Benton County,44.657101,-123.147962,362,09:10,,Elementary,included
Oregon,OR,410112000029,NORTH ALBANY ELEMENTARY SCHOOL,Greater Albany Public School District,Benton County,44.651579,-123.114713,291,09:10,,Elementary,included
Oregon,OR,410112000669,CENTRAL ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.630509,-123.106691,125,09:00,,Elementary,included
Oregon,OR,410112000670,LAFAYETTE ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.612709,-123.091881,295,07:50,,Elementary,included
Oregon,OR,410112000671,LIBERTY ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.618993,-123.118317,297,07:55,,Elementary,included
Oregon,OR,410112000672,OAK ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.607853,-123.085938,273,09:10,,Elementary,included
Oregon,OR,410112000673,SUNRISE ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.622469,-123.093943,324,07:50,,Elementary,included
Oregon,OR,410112000674,SOUTH SHORE ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.633597,-123.070070,356,09:10,,Elementary,included
Oregon,OR,410112000675,TAKENA ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.626843,-123.119212,122,09:10,,Elementary,included
Oregon,OR,410112000676,WAVERLY ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.637436,-123.077432,204,07:50,,Elementary,included
Oregon,OR,410112000680,PERIWINKLE ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.621188,-123.078173,325,07:50,,Elementary,included
Oregon,OR,410112000692,TANGENT ELEMENTARY SCHOOL,Greater Albany Public School District,Linn County,44.538077,-123.104688,123,09:10,,Elementary,included
Oregon,OR,410112000725,MEADOW RIDGE ELEMENTARY,Greater Albany Public School District,Linn County,44.649677,-123.041134,510,09:00,,Elementary,included
Oregon,OR,410112000732,CALAPOOIA MIDDLE SCHOOL,Greater Albany Public School District,Linn County,44.617588,-123.092585,585,07:50,,Middle,included
Oregon,OR,410112000733,MEMORIAL MIDDLE SCHOOL,Greater Albany Public School District,Linn County,44.622987,-123.115103,544,07:55,,Middle,included
Oregon,OR,410112000734,NORTH ALBANY MIDDLE SCHOOL,Greater Albany Public School District,Benton County,44.652559,-123.112158,479,07:50,,Middle,included
Oregon,OR,410112000735,WEST ALBANY HIGH SCHOOL,Greater Albany Public School District,Linn County,44.623087,-123.116902,1297,07:40,,High,included
Oregon,OR,410112000736,SOUTH ALBANY HIGH SCHOOL,Greater Albany Public School District,Linn County,44.607599,-123.077721,1466,07:40,,High,included
Oregon,OR,410112001577,ALBANY OPTIONS SCHOOL,Greater Albany Public School District,Linn County,44.623843,-123.094293,136,08:00,,Other/Mixed,included
Oregon,OR,410112001773,TIMBER RIDGE SCHOOL,Greater Albany Public School District,Linn County,44.647086,-123.041081,657,08:50,,Other/Mixed,included
Oregon,OR,410120000019,ALSEA CHARTER SCHOOL,Alsea School Distric,Benton County,44.380855,-123.594658,235,08:00,,Other/Mixed,included
Oregon,OR,410123001260,AMITY ELEMENTARY SCHOOL,Amity School District,Yamhill County,45.122400,-123.203600,320,07:55,,Elementary,included
Oregon,OR,410123001263,AMITY HIGH SCHOOL,Amity School District,Yamhill County,45.116200,-123.202700,258,07:55,,High,included
Oregon,OR,410123001320,AMITY MIDDLE SCHOOL,Amity School District,Yamhill County,45.113500,-123.205200,168,07:55,,Middle,included
Oregon,OR,410135000753,ANNEX CHARTER SCHOOL,Annex School District,Malheur County,44.236580,-116.987503,131,08:15,,Other/Mixed,included
Oregon,OR,410147000343,ARLINGTON COMMUNITY CHARTER SCHOOL,Arlington School District,Gilliam County,45.712200,-120.199900,130,,CALL,Other/Mixed,start_time_not_found
Oregon,OR,410150000759,W W JONES ELEMENTARY SCHOOL,Arock School District,Malheur County,42.913350,-117.525959,12,08:00,,Elementary,included
Oregon,OR,410156000395,BELLVIEW ELEMENTARY SCHOOL,Ashland School District,Jackson County,42.175700,-122.670800,248,08:20,,Elementary,included
Oregon,OR,410156000397,HELMAN ELEMENTARY SCHOOL,Ashland School District,Jackson County,42.209000,-122.712800,260,08:20,,Elementary,included
